Node Number	Total Deformation (m)
1	2.6749e-013
2	5.0019e-013
3	7.1388e-013
4	9.083e-013
5	1.0982e-012
6	1.2875e-012
7	1.4792e-012
8	1.6739e-012
9	1.8719e-012
10	2.0728e-012
11	2.2762e-012
12	2.3547e-013
13	4.6059e-013
14	6.741e-013
15	8.7343e-013
16	1.0688e-012
17	1.2632e-012
18	1.4589e-012
19	1.6569e-012
20	1.8571e-012
21	2.0597e-012
22	2.2641e-012
23	2.2498e-013
24	4.3983e-013
25	6.4806e-013
26	8.474e-013
27	1.0449e-012
28	1.2423e-012
29	1.441e-012
30	1.6415e-012
31	1.8438e-012
32	2.0478e-012
33	2.2533e-012
34	2.198e-013
35	4.2863e-013
36	6.3257e-013
37	8.3011e-013
38	1.0278e-012
39	1.2266e-012
40	1.4272e-012
41	1.6294e-012
42	1.8332e-012
43	2.0383e-012
44	2.2445e-012
45	2.1742e-013
46	4.232e-013
47	6.2444e-013
48	8.2039e-013
49	1.0177e-012
50	1.217e-012
51	1.4185e-012
52	1.6217e-012
53	1.8264e-012
54	2.0321e-012
55	2.2388e-012
56	2.1671e-013
57	4.2154e-013
58	6.219e-013
59	8.1727e-013
60	1.0144e-012
61	1.2138e-012
62	1.4155e-012
63	1.6191e-012
64	1.824e-012
65	2.03e-012
66	2.2368e-012
67	2.1742e-013
68	4.232e-013
69	6.2444e-013
70	8.2039e-013
71	1.0177e-012
72	1.217e-012
73	1.4185e-012
74	1.6217e-012
75	1.8264e-012
76	2.0321e-012
77	2.2388e-012
78	2.198e-013
79	4.2863e-013
80	6.3257e-013
81	8.3011e-013
82	1.0278e-012
83	1.2266e-012
84	1.4272e-012
85	1.6294e-012
86	1.8332e-012
87	2.0383e-012
88	2.2445e-012
89	2.2498e-013
90	4.3983e-013
91	6.4806e-013
92	8.474e-013
93	1.0449e-012
94	1.2423e-012
95	1.441e-012
96	1.6415e-012
97	1.8438e-012
98	2.0478e-012
99	2.2533e-012
100	2.3547e-013
101	4.6059e-013
102	6.741e-013
103	8.7343e-013
104	1.0688e-012
105	1.2632e-012
106	1.4589e-012
107	1.6569e-012
108	1.8571e-012
109	2.0597e-012
110	2.2641e-012
111	2.6749e-013
112	5.0019e-013
113	7.1388e-013
114	9.083e-013
115	1.0982e-012
116	1.2875e-012
117	1.4792e-012
118	1.6739e-012
119	1.8719e-012
120	2.0728e-012
121	2.2762e-012
122	2.3547e-013
123	4.6059e-013
124	6.741e-013
125	8.7343e-013
126	1.0688e-012
127	1.2632e-012
128	1.4589e-012
129	1.6569e-012
130	1.8571e-012
131	2.0597e-012
132	2.2641e-012
133	1.9865e-013
134	4.1624e-013
135	6.3069e-013
136	8.3629e-013
137	1.0381e-012
138	1.2381e-012
139	1.4384e-012
140	1.6397e-012
141	1.8424e-012
142	2.0466e-012
143	2.2523e-012
144	1.8601e-013
145	3.9243e-013
146	6.02e-013
147	8.0842e-013
148	1.013e-012
149	1.2166e-012
150	1.4202e-012
151	1.6243e-012
152	1.8291e-012
153	2.0349e-012
154	2.2415e-012
155	1.7948e-013
156	3.7941e-013
157	5.8483e-013
158	7.8989e-013
159	9.9516e-013
160	1.2005e-012
161	1.4061e-012
162	1.6121e-012
163	1.8186e-012
164	2.0255e-012
165	2.2329e-012
166	1.7642e-013
167	3.7302e-013
168	5.7579e-013
169	7.7947e-013
170	9.8462e-013
171	1.1906e-012
172	1.3973e-012
173	1.6044e-012
174	1.8118e-012
175	2.0194e-012
176	2.2274e-012
177	1.7548e-013
178	3.7107e-013
179	5.7296e-013
180	7.7612e-013
181	9.8116e-013
182	1.1873e-012
183	1.3943e-012
184	1.6018e-012
185	1.8094e-012
186	2.0173e-012
187	2.2254e-012
188	1.7642e-013
189	3.7302e-013
190	5.7579e-013
191	7.7947e-013
192	9.8462e-013
193	1.1906e-012
194	1.3973e-012
195	1.6044e-012
196	1.8118e-012
