Node Number	Maximum Principal Stress (Pa)
1	-0.60788
2	1.0405e-002
3	1.8502e-002
4	3.9688e-002
5	3.1523e-002
6	2.3921e-002
7	1.6708e-002
8	1.1017e-002
9	7.0488e-003
10	6.3482e-003
11	8.6909e-003
12	-0.57795
13	-6.4532e-002
14	-3.3884e-002
15	1.9281e-002
16	2.9759e-002
17	3.1076e-002
18	2.7232e-002
19	2.2367e-002
20	1.882e-002
21	1.8361e-002
22	2.0469e-002
23	-0.57827
24	-8.2867e-002
25	-5.3582e-002
26	-4.2262e-003
27	1.341e-002
28	2.6156e-002
29	3.1527e-002
30	3.1853e-002
31	3.0687e-002
32	3.1531e-002
33	3.6061e-002
34	-0.57654
35	-8.1252e-002
36	-5.8636e-002
37	-1.4034e-002
38	3.6166e-004
39	1.4845e-002
40	3.0371e-002
41	3.7647e-002
42	3.9715e-002
43	4.2534e-002
44	5.1118e-002
45	-0.57587
46	-8.1224e-002
47	-6.0634e-002
48	-1.7072e-002
49	-4.9638e-003
50	4.4261e-003
51	2.7056e-002
52	4.0321e-002
53	4.5108e-002
54	4.9752e-002
55	6.1833e-002
56	-0.57594
57	-8.1092e-002
58	-6.0885e-002
59	-1.7726e-002
60	-6.2466e-003
61	1.9922e-004
62	2.5311e-002
63	4.1035e-002
64	4.6878e-002
65	5.2256e-002
66	6.5693e-002
67	-0.57587
68	-8.1224e-002
69	-6.0634e-002
70	-1.7072e-002
71	-4.9638e-003
72	4.4261e-003
73	2.7056e-002
74	4.0321e-002
75	4.5108e-002
76	4.9752e-002
77	6.1833e-002
78	-0.57654
79	-8.1252e-002
80	-5.8636e-002
81	-1.4034e-002
82	3.6164e-004
83	1.4845e-002
84	3.0371e-002
85	3.7647e-002
86	3.9715e-002
87	4.2534e-002
88	5.1118e-002
89	-0.57827
90	-8.2867e-002
91	-5.3582e-002
92	-4.2262e-003
93	1.341e-002
94	2.6156e-002
95	3.1527e-002
96	3.1853e-002
97	3.0687e-002
98	3.1531e-002
99	3.6061e-002
100	-0.57795
101	-6.4532e-002
102	-3.3884e-002
103	1.9281e-002
104	2.9759e-002
105	3.1076e-002
106	2.7232e-002
107	2.2367e-002
108	1.882e-002
109	1.8361e-002
110	2.0469e-002
111	-0.60788
112	1.0405e-002
113	1.8502e-002
114	3.9688e-002
115	3.1523e-002
116	2.3921e-002
117	1.6708e-002
118	1.1017e-002
119	7.0489e-003
120	6.3482e-003
121	8.691e-003
122	-0.57795
123	-6.4532e-002
124	-3.3884e-002
125	1.9281e-002
126	2.9759e-002
127	3.1076e-002
128	2.7233e-002
129	2.2367e-002
130	1.882e-002
131	1.8361e-002
132	2.0469e-002
133	-0.91805
134	-0.40298
135	-0.14721
136	-2.5879e-002
137	1.5881e-002
138	2.9246e-002
139	2.997e-002
140	2.6181e-002
141	2.2049e-002
142	1.9583e-002
143	2.4793e-002
144	-0.9766
145	-0.45127
146	-0.20532
147	-7.203e-002
148	-1.1315e-002
149	1.7007e-002
150	2.7383e-002
151	2.9688e-002
152	2.9849e-002
153	3.2298e-002
154	3.8833e-002
155	-0.97928
156	-0.45311
157	-0.21865
158	-9.2359e-002
159	-3.1134e-002
160	1.63e-003
161	1.9798e-002
162	3.0125e-002
163	3.6385e-002
164	4.3075e-002
165	5.4348e-002
166	-0.97899
167	-0.45384
168	-0.22309
169	-9.912e-002
170	-3.9736e-002
171	-8.704e-003
172	1.0507e-002
173	2.859e-002
174	4.0124e-002
175	5.0051e-002
176	6.5436e-002
177	-0.97904
178	-0.45386
179	-0.22393
180	-0.10068
181	-4.1939e-002
182	-1.1898e-002
183	2.9337e-003
184	2.7578e-002
185	4.1305e-002
186	5.2457e-002
187	6.9426e-002
188	-0.97899
189	-0.45384
190	-0.22309
191	-9.912e-002
192	-3.9736e-002
193	-8.704e-003
194	1.0507e-002
195	2.859e-002
196	4.0123e-002
197	5.0051e-002
198	6.5436e-002
199	-0.97928
200	-0.45311
201	-0.21865
202	-9.2359e-002
203	-3.1135e-002
204	1.6299e-003
205	1.9798e-002
206	3.0125e-002
207	3.6385e-002
208	4.3075e-002
209	5.4348e-002
210	-0.9766
211	-0.45127
212	-0.20532
213	-7.203e-002
214	-1.1315e-002
215	1.7007e-002
216	2.7383e-002
217	2.9688e-002
218	2.9849e-002
219	3.2298e-002
220	3.8833e-002
221	-0.91805
222	-0.40298
223	-0.14721
224	-2.5879e-002
225	1.5881e-002
226	2.9245e-002
227	2.997e-002
228	2.6182e-002
229	2.2049e-002
230	1.9583e-002
231	2.4793e-002
232	-0.57795
233	-6.4532e-002
234	-3.3884e-002
235	1.9281e-002
236	2.9759e-002
237	3.1076e-002
238	2.7232e-002
239	2.2367e-002
240	1.882e-002
241	1.8361e-002
242	2.0469e-002
243	-0.57827
244	-8.2867e-002
245	-5.3582e-002
246	-4.2262e-003
247	1.341e-002
248	2.6156e-002
249	3.1527e-002
250	3.1853e-002
251	3.0687e-002
252	3.1531e-002
253	3.6061e-002
254	-0.9766
255	-0.45127
256	-0.20532
257	-7.203e-002
258	-1.1315e-002
259	1.7007e-002
260	2.7383e-002
261	2.9688e-002
262	2.9849e-002
263	3.2298e-002
264	3.8833e-002
265	-1.1723
266	-0.71405
267	-0.35408
268	-0.15325
269	-5.1834e-002
270	-1.1727e-003
271	2.0649e-002
272	2.8763e-002
273	3.1489e-002
274	3.4059e-002
275	4.3423e-002
276	-1.2047
277	-0.72575
278	-0.39374
279	-0.1943
280	-8.2692e-002
281	-2.091e-002
282	1.0592e-002
283	2.6123e-002
284	3.4783e-002
285	4.3648e-002
286	5.7771e-002
287	-1.2073
288	-0.72821
289	-0.40192
290	-0.20593
291	-9.5641e-002
292	-3.3263e-002
293	8.0291e-004
294	2.1934e-002
295	3.6984e-002
296	5.0426e-002
297	6.9116e-002
298	-1.2077
299	-0.72864
300	-0.40357
301	-0.20852
302	-9.8805e-002
303	-3.6889e-002
304	-3.9924e-003
305	1.8957e-002
306	3.766e-002
307	5.2756e-002
308	7.3195e-002
309	-1.2073
310	-0.72821
311	-0.40192
312	-0.20593
313	-9.5641e-002
314	-3.3263e-002
315	8.0297e-004
316	2.1934e-002
317	3.6984e-002
318	5.0426e-002
319	6.9116e-002
320	-1.2047
321	-0.72575
322	-0.39374
323	-0.1943
324	-8.2692e-002
325	-2.091e-002
326	1.0592e-002
327	2.6123e-002
328	3.4783e-002
329	4.3648e-002
330	5.7771e-002
331	-1.1723
332	-0.71405
333	-0.35408
334	-0.15325
335	-5.1834e-002
336	-1.1727e-003
337	2.0649e-002
338	2.8763e-002
339	3.1489e-002
340	3.4059e-002
341	4.3423e-002
342	-0.9766
343	-0.45127
344	-0.20532
345	-7.203e-002
346	-1.1315e-002
347	1.7007e-002
348	2.7383e-002
349	2.9688e-002
350	2.9849e-002
351	3.2298e-002
352	3.8833e-002
353	-0.57827
354	-8.2867e-002
355	-5.3582e-002
356	-4.2262e-003
357	1.341e-002
358	2.6156e-002
359	3.1527e-002
360	3.1853e-002
361	3.0687e-002
362	3.1531e-002
363	3.6061e-002
364	-0.57654
365	-8.1252e-002
366	-5.8636e-002
367	-1.4034e-002
368	3.6167e-004
369	1.4845e-002
370	3.0371e-002
371	3.7647e-002
372	3.9715e-002
373	4.2534e-002
374	5.1118e-002
375	-0.97928
376	-0.45311
377	-0.21865
378	-9.2359e-002
379	-3.1134e-002
380	1.63e-003
381	1.9798e-002
382	3.0125e-002
383	3.6385e-002
384	4.3075e-002
385	5.4348e-002
386	-1.2047
387	-0.72575
388	-0.39374
389	-0.1943
390	-8.2692e-002
391	-2.091e-002
392	1.0592e-002
393	2.6123e-002
394	3.4783e-002
395	4.3648e-002
396	5.7771e-002
397	-1.3097
398	-0.87639
399	-0.51611
400	-0.27641
401	-0.12962
402	-4.5572e-002
403	-6.6495e-004
404	2.2293e-002
405	3.4864e-002
406	4.532e-002
407	6.1859e-002
408	-1.3262
409	-0.88275
410	-0.53753
411	-0.30076
412	-0.15075
413	-6.1272e-002
414	-1.0545e-002
415	1.7832e-002
416	3.5475e-002
417	5.1189e-002
418	7.275e-002
419	-1.3273
420	-0.8838
421	-0.5401
422	-0.30446
423	-0.15495
424	-6.5556e-002
425	-1.4845e-002
426	1.3987e-002
427	3.5695e-002
428	5.3467e-002
429	7.6918e-002
430	-1.3262
431	-0.88275
432	-0.53753
433	-0.30076
434	-0.15075
435	-6.1272e-002
436	-1.0545e-002
437	1.7832e-002
438	3.5475e-002
439	5.1189e-002
440	7.275e-002
441	-1.3097
442	-0.87639
443	-0.51611
444	-0.27641
445	-0.12962
446	-4.5572e-002
447	-6.6498e-004
448	2.2293e-002
449	3.4864e-002
450	4.532e-002
451	6.1859e-002
452	-1.2047
453	-0.72575
454	-0.39374
455	-0.1943
456	-8.2692e-002
457	-2.091e-002
458	1.0592e-002
459	2.6123e-002
460	3.4783e-002
461	4.3648e-002
